iter	Passed	Remaining
0	1	120
1	2	103
2	2	96
3	3	87
4	4	88
5	5	84
6	6	81
7	6	78
8	7	77
9	8	75
10	9	73
11	9	72
12	10	70
13	11	68
14	11	67
15	12	66
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	28	48
37	28	47
38	29	46
39	30	45
40	31	45
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	53	22
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	16
78	61	16
79	62	15
80	62	14
81	63	14
82	64	13
83	65	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	71	7
91	72	6
92	73	5
93	74	4
94	74	3
95	75	3
96	76	2
97	77	1
98	78	0
99	78	0
